
Bogført;Tekst;Rentedato;Beløb;Saldo
12-10-2009;Visa køb USD      12,00            IRIDESCO   212-22641               Den 08.10;09-10-2009;-61,42;145288,61
09-10-2009;Bgs DSB Kbh/Aarhus;08-10-2009;-488,00;145350,03
09-10-2009;Bgs DSB Aarhus/Kbh;08-10-2009;-513,00;145838,03
09-10-2009;Dankort-nota TELMORE A/S;08-10-2009;-512,08;146351,03
08-10-2009;Bgs Post Danmark;08-10-2009;-38,75;146863,11
30-09-2009;2009016;01-10-2009;53812,50;146901,86
30-09-2009;Bgs Løn, Peter (privat);30-09-2009;-12500,00;93089,36
30-09-2009;Visa køb USD      12,00            GITHUB   SAN FRANCIS               Den 27.09;29-09-2009;-61,87;105589,36
29-09-2009;Visa køb USD      62,32            GOOGLE*ADWS952398165               Den 27.09;28-09-2009;-320,88;105651,23
29-09-2009;Visa køb EUR      14,09            PIXUM FOTOSERVICE                  Den 25.09;25-09-2009;-105,91;105972,11
29-09-2009;Visa køb DKK      35,00            PAYPAL *ZATTOOEUROP                Den 24.09;25-09-2009;-35,00;106078,02
28-09-2009;Dankort-nota LARSEN DATA V/ 53855;25-09-2009;-90,10;106113,02
25-09-2009;Visa køb USD      20,00            FORMSPRING   317-842               Den 23.09;24-09-2009;-102,19;106203,12
23-09-2009;Visa køb USD       9,00            FORMSPRING   317-842               Den 22.09;22-09-2009;-46,38;106305,31
22-09-2009;Bgs Lønkonto;21-09-2009;-12500,00;106351,69
21-09-2009;2009013;22-09-2009;375,00;118851,69
21-09-2009;Dankort-nota TELMORE A/S;18-09-2009;-505,29;118476,69
17-09-2009;fa 2009015                         Topsolutions ApS;17-09-2009;5343,75;118981,98
11-09-2009;Visa køb USD      12,00            IRIDESCO   212-22641               Den 08.09;10-09-2009;-62,43;113638,23
10-09-2009;Udbytte 20090908070710  NTRF       US5949181045;10-09-2009;255,17;113700,66
04-09-2009;Dankort-nota LARSEN DATA V/ 48176;03-09-2009;-90,10;113445,49
03-09-2009;Visa køb DKK     229,00            APPLE STORE-DENMARK                Den 31.08;02-09-2009;-229,00;113535,59
01-09-2009;Bgs Telia Danmark;01-09-2009;-677,75;113764,59
01-09-2009;Visa køb USD     101,62            GOOGLE_*ADWS95239816               Den 28.08;28-08-2009;-534,47;114442,34
01-09-2009;Visa køb USD      36,43            CampaignMonitor.co                 Den 29.08;28-08-2009;-191,60;114976,81
01-09-2009;Visa køb USD      12,00            GITHUB   415-291-022               Den 27.08;28-08-2009;-63,11;115168,41
31-08-2009;2009012;01-09-2009;13125,00;115231,52
31-08-2009;Bgs Told & Skat (Moms);31-08-2009;-30332,00;102106,52
28-08-2009;Bgs Løn, Peter (privat);28-08-2009;-12500,00;132438,52
26-08-2009;Overførsel, med.nr. 02480037009237 Biokemisk Forening;26-08-2009;937,50;144938,52
21-08-2009;Bgs Frimaerker;21-08-2009;-390,00;144001,02
17-08-2009;2009011;18-08-2009;48343,75;144391,02
11-08-2009;Visa køb USD      12,00            IRIDESCO   212-22641               Den 08.08;10-08-2009;-63,16;96047,27
07-08-2009;Visa køb USD      22,35            CampaignMonitor.co                 Den 06.08;06-08-2009;-117,20;96110,43
06-08-2009;Bgs Mad, kontor;06-08-2009;-107,70;96227,63
06-08-2009;Bgs Ikea, køb til kontor;06-08-2009;-417,00;96335,33
05-08-2009;Visa køb USD       9,95            WUFOO COM CHARGE   8               Den 01.08;04-08-2009;-52,57;96752,33
04-08-2009;Visa køb USD      12,44            AUDIBLE   888-283-50               Den 02.08;03-08-2009;-66,50;96804,90
03-08-2009;Bs betaling BONNIER PUBLICATIONS;03-08-2009;-248,00;96871,40
03-08-2009;Bgs Telia Danmark;03-08-2009;-1334,88;97119,40
03-08-2009;Bgs Revisionsfirmaet Fle;03-08-2009;-5625,00;98454,28
03-08-2009;Dankort-nota TELMORE A/S;31-07-2009;-99,00;104079,28
31-07-2009;Visa køb USD      46,87            GOOGLE_*ADWS95239816               Den 29.07;30-07-2009;-251,12;104178,28
30-07-2009;2009010;31-07-2009;48125,00;104429,40
30-07-2009;Bgs Løn, Peter (privat);30-07-2009;-12500,00;56304,40
30-07-2009;Visa køb USD      12,00            GITHUB   415-291-022               Den 27.07;29-07-2009;-63,73;68804,40
28-07-2009;Visa køb EUR      30,97            PIXUM FOTOSERVICE                  Den 25.07;27-07-2009;-232,87;68868,13
27-07-2009;Visa køb EUR      64,83            DRI WWW ELEMENT5 INF               Den 22.07;24-07-2009;-487,50;69101,00
23-07-2009;Visa køb USD      19,22            GODADDY.COM EUROPE                 Den 21.07;22-07-2009;-102,14;69588,50
22-07-2009;Visa køb USD      18,87            CampaignMonitor.co                 Den 21.07;21-07-2009;-100,31;69690,64
20-07-2009;Bgs Faktura 2009009;21-07-2009;375,00;69790,95
10-07-2009;Visa køb USD      12,00            IRIDESCO   212-22641               Den 08.07;09-07-2009;-65,25;69415,95
06-07-2009;Visa køb USD       9,95            WUFOO COM CHARGE   8               Den 01.07;03-07-2009;-53,53;69481,20
01-07-2009;Bgs Telia Danmark;01-07-2009;-1879,59;69534,73
01-07-2009;Visa køb USD       2,37            GOOGLE_*ADWS95239816               Den 29.06;30-06-2009;-12,74;71414,32
30-06-2009;Bgs Løn, Peter (privat);30-06-2009;-12500,00;71427,06
30-06-2009;Bgs Fejl (tilbage lån);30-06-2009;-10345,00;83927,06
30-06-2009;OVERF                              Meddelnr. 02990856809180           BOFA RE PAYPAL INTER;30-06-2009;10345,00;94272,06
29-06-2009;2009007;30-06-2009;47687,50;83927,06
29-06-2009;Visa køb USD      12,00            GITHUB   415-291-022               Den 24.06;26-06-2009;-65,05;36239,56
26-06-2009;Gebyr af depot 20090610204685  NCHG212073 DEPOTGEBY;26-06-2009;-176,20;36304,61
25-06-2009;Dankort-nota Fullrate A/S   28919;24-06-2009;54,51;36480,81
19-06-2009;Visa køb USD     120,00            DISCOUNTASP626-44648               Den 17.06;18-06-2009;-655,17;36426,30
19-06-2009;Udbytte 20090619070722  NTRF       US5949181045;18-06-2009;265,94;37081,47
10-06-2009;Visa køb USD      12,00            IRIDESCO   212-22641               Den 08.06;09-06-2009;-65,41;36815,53
08-06-2009;Bs betaling SKAT - CENTRALREGIST;08-06-2009;-2500,00;36880,94
04-06-2009;Visa køb USD       9,95            WUFOO COM CHARGE   8               Den 01.06;03-06-2009;-52,81;39380,94
03-06-2009;Bgs Lønkonto;03-06-2009;-10000,00;39433,75
03-06-2009;Visa køb USD      46,93            Visa køb i udlandet;29-05-2009;-251,56;49433,75
03-06-2009;Overførsel, med.nr. 02757017509153 Biokemisk Forening;03-06-2009;937,50;49685,31
02-06-2009;2009005;03-06-2009;375,00;48747,81
02-06-2009;Bs betaling TRYG;02-06-2009;-8277,00;48372,81
02-06-2009;Bgs Telia Danmark;02-06-2009;-638,00;56649,81
29-05-2009;2009003;02-06-2009;60812,50;57287,81
29-05-2009;Bgs Lånt fra privatkonto;29-05-2009;-3000,00;-3524,69
28-05-2009;Bgs ScanNet;28-05-2009;-1867,50;-524,69
27-05-2009;Bgs Lån fra privatkonto;26-05-2009;3000,00;1342,81
